,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
488,Sociedad Quimica y Minera S.A. Common Stock,74.85,-2.68,(-3.46%),Basic Industries,Agricultural Chemicals,"21,380,038,432","1,218,253",$2.07,$3.658,"Jan 10, 2022",4.88%,0.65
490,"Continental Resources, Inc. Common Stock",58.27,-1.24,(-2.08%),Energy,Oil & Gas Production,"21,302,397,586","2,354,120",$4.56,$0.92,"Mar 4, 2022",1.57%,2.9
491,KeyCorp Common Stock,22.92,-0.04,(-0.17%),Finance,Major Banks,"21,264,282,831","7,928,545",$2.63,$0.78,"Mar 15, 2022",3.34%,1.36
492,Huntington Bancshares Incorporated Common Stock,14.72,+0.11,(+0.75%),Finance,Major Banks,"21,168,658,540","13,213,832",$1.36,$0.62,"Apr 1, 2022",4.21%,1.22
493,Garmin Ltd. Common Stock,109.8,-1.33,(-1.2%),Capital Goods,Industrial Machinery/Components,"21,168,021,384","1,121,427",$5.60,$2.68,"Mar 31, 2022",2.42%,1.01
494,Paramount Global Class B Common Stock,32.62,-0.61,(-1.84%),Consumer Services,Movies/Entertainment,"21,156,832,066","6,783,881",$6.91,$0.96,"Apr 1, 2022",2.85%,1.47
495,"PerkinElmer, Inc. Common Stock",165.89,-6.45,(-3.74%),Health Care,Medical Specialities,"20,928,247,436","820,138",$8.08,$0.28,"May 13, 2022",0.16%,1.11
496,"Skyworks Solutions, Inc. Common Stock",127.54,-3.93,(-2.99%),Technology,Semiconductors,"20,917,295,396","1,388,463",$8.32,$2.24,"Mar 15, 2022",1.67%,1.11
497,Coterra Energy Inc. Common Stock,25.63,-0.70,(-2.66%),Energy,Oil & Gas Production,"20,856,616,207","10,664,530",$1.72,$2.24,"Mar 17, 2022",8.8%,-0.21
498,Coca-Cola Europacific Partners plc Ordinary Shares,45.61,+0.19,(+0.42%),Consumer Non-Durables,Beverages (Production/Distribution),12.79,"1,218,455","Nov 16, 2020","Dec 1, 2020",0.83,"Nov 18, 2021",$1.62
499,V.F. Corporation Common Stock,53.5,+0.08,(+0.15%),Consumer Non-Durables,Apparel,"20,806,239,185","4,160,456",$3.55,$2.00,"Mar 21, 2022",3.74%,1.5
500,"J.B. Hunt Transport Services, Inc. Common Stock",198.35,-3.53,(-1.75%),Transportation,Trucking Freight/Courier Services,"20,796,997,897","730,501",$7.14,$1.60,"Feb 18, 2022",0.8%,1.05
501,Genmab A/S ADS,31.71,-0.86,(-2.64%),Health Care,Biotechnology: Commercial Physical & Biological Resarch,"20,752,868,254","324,535",$0.73,N/A,N/A,N/A,0.67
502,"Avantor, Inc. Common Stock",33.88,-0.19,(-0.56%),Basic Industries,Industrial Specialties,"20,665,719,092","2,426,249",$0.86,N/A,N/A,N/A,1.64
503,Regions Financial Corporation Common Stock,21.91,-0.09,(-0.41%),Finance,Major Banks,"20,532,871,796","8,355,450",$2.48,$0.68,"Apr 1, 2022",3.03%,1.33
504,Duke Realty Corporation Common Stock,53.63,-0.88,(-1.61%),Consumer Services,Real Estate Investment Trusts,"20,527,832,395","1,691,803",$2.25,$1.12,"Feb 28, 2022",2.06%,0.72
505,"Delta Air Lines, Inc. Common Stock",32.07,-0.48,(-1.47%),Transportation,Air Freight/Delivery Services,"20,522,547,403","16,978,687",$0.42,N/A,N/A,N/A,1.21
506,Zebra Technologies Corporation Class A Common Stock,386.07,-2.72,(-0.7%),Technology,Computer peripheral equipment,"20,492,495,222","410,323",$15.53,N/A,N/A,N/A,1.63
507,"Sun Communities, Inc. Common Stock",176.44,-3.39,(-1.89%),Consumer Services,Real Estate Investment Trusts,"20,460,327,870","313,565",$3.32,$3.52,"Apr 15, 2022",1.86%,0.69
508,Fox Corporation Class B Common Stock,36.18,-0.43,(-1.17%),Consumer Services,Broadcasting,"20,365,816,575","736,322",$2.45,$0.48,"Mar 30, 2022",1.28%,1.03
509,Kellogg Company Common Stock,59.85,-1.16,(-1.9%),Consumer Non-Durables,Packaged Foods,"20,315,191,453","2,894,503",$4.33,$2.32,"Mar 15, 2022",3.73%,0.57
510,VICI Properties Inc. Common Stock,27.13,-0.22,(-0.8%),Consumer Services,Real Estate Investment Trusts,"20,303,837,765","5,085,177",$1.76,$1.44,"Jan 6, 2022",5.24%,1.12
511,CNH Industrial N.V. Common Shares,14.97,+0.16,(+1.08%),Capital Goods,Construction/Ag Equipment/Trucks,"20,300,472,690","8,061,306",$1.27,N/A,N/A,N/A,1.77
512,Pembina Pipeline Corp. Ordinary Shares,36.74,-0.07,(-0.19%),Energy,Oil & Gas Production,"20,220,300,064","979,477",$1.57,$1.988,"Apr 14, 2022",5.48%,1.33
513,Fortive Corporation Common Stock,56.24,-0.24,(-0.42%),Capital Goods,Industrial Machinery/Components,"20,193,894,111","6,499,757",$1.62,$0.28,"Mar 25, 2022",0.48%,1.21
514,ZoomInfo Technologies Inc Class A Common Stock,50.0,-3.01,(-5.68%),Technology,Computer Software: Prepackaged Software,"20,165,094,900","2,672,986",$0.28,N/A,N/A,N/A,1.34
517,"Raymond James Financial, Inc. Common Stock",96.13,-0.16,(-0.17%),Finance,Investment Bankers/Brokers/Service,"19,956,784,394","923,164",$7.25,$1.36,"Apr 18, 2022",1.42%,1.09
518,"Ulta Beauty, Inc. Common Stock",368.51,-10.86,(-2.86%),N/A,N/A,"19,943,824,952","1,520,478",$18.01,N/A,N/A,N/A,1.65
519,"CF Industries Holdings, Inc. Common Stock",96.05,-1.20,(-1.23%),Basic Industries,Agricultural Chemicals,"19,911,633,916","3,663,896",$4.25,$1.20,"Feb 28, 2022",1.3%,1
520,Teledyne Technologies Incorporated Common Stock,420.4,-4.67,(-1.1%),Capital Goods,Industrial Machinery/Components,"19,840,690,136","205,699",$9.91,N/A,N/A,N/A,1.09
521,Heico Corporation Common Stock,145.75,-1.22,(-0.83%),Capital Goods,Military/Government/Technical,"19,803,853,396","342,432",$2.32,$0.18,"Jan 20, 2022",0.12%,1.13
522,"Citizens Financial Group, Inc. Common Stock",46.88,-0.40,(-0.85%),Finance,Major Banks,"19,789,997,458","4,996,846",$5.16,$1.56,"Feb 11, 2022",3.26%,1.49
525,CGI Inc. Common Stock,80.62,-0.68,(-0.84%),N/A,N/A,"19,619,821,705","194,919",$4.45,N/A,N/A,N/A,1.06
526,Cincinnati Financial Corporation Common Stock,121.69,-0.47,(-0.38%),Finance,Property-Casualty Insurers,"19,523,185,350","524,423",$18.11,$2.76,"Apr 15, 2022",2.08%,0.62
528,Ingersoll Rand Inc. Common Stock,47.59,-0.98,(-2.02%),Capital Goods,Industrial Machinery/Components,"19,415,192,789","2,740,449",$1.35,$0.08,"Mar 24, 2022",0.16%,1.5
530,"Boston Properties, Inc. Common Stock",123.44,-1.53,(-1.22%),Consumer Services,Real Estate Investment Trusts,"19,340,119,633","730,464",$3.17,$3.92,"Jan 28, 2022",3.16%,1.09
532,"SS&C Technologies Holdings, Inc. Common Stock",74.96,+0.19,(+0.25%),Technology,EDP Services,"19,219,689,579","2,067,681",$2.99,$0.80,"Mar 15, 2022",1.07%,1.56
533,Seagate Technology Holdings PLC Ordinary Shares,87.33,-1.39,(-1.57%),Technology,Electronic Components,"19,116,391,945","1,871,151",$7.97,$2.80,"Apr 6, 2022",3.1%,1.04
534,CMS Energy Corporation Common Stock,65.96,-0.09,(-0.14%),Public Utilities,Power Generation,"19,112,587,079","1,525,725",$4.66,$1.84,"Feb 28, 2022",2.82%,0.24
536,Waters Corporation Common Stock,312.97,-6.62,(-2.07%),Health Care,Medical Specialities,"18,939,573,591","286,832",$11.18,N/A,N/A,N/A,0.9
539,"The Cooper Companies, Inc. Common Stock",379.96,-5.34,(-1.39%),Health Care,Ophthalmic Goods,"18,732,616,938","360,040",$18.85,$0.06,"Feb 9, 2022",0.02%,0.85
540,"NetApp, Inc. Common Stock",84.1,+1.48,(+1.79%),Technology,Electronic Components,"18,715,315,950","1,991,931",$4.42,$2.00,"Apr 27, 2022",2.48%,1.23
542,Brookfield Infrastructure Partners LP Limited Partnership Units,60.74,+0.32,(+0.53%),Consumer Services,Marine Transportation,"18,541,921,164","263,908",$1.74,$2.16,"Mar 31, 2022",3.58%,0.87
543,"Monolithic Power Systems, Inc. Common Stock",395.74,-13.32,(-3.26%),Technology,Semiconductors,"18,405,471,660","235,280",$5.06,$3.00,"Apr 15, 2022",0.57%,0.91
544,TransUnion Common Stock,95.68,Unchanged,,Technology,Advertising,"18,360,992,000","1,406,837",$7.18,$0.38,"Mar 25, 2022",0.4%,1.35
545,Fresenius Medical Care AG Common Stock,31.32,+0.03,(+0.1%),Health Care,Medical/Nursing Services,"18,353,791,795","539,443",$1.96,$0.573,"Jun 7, 2021",1.8%,1.19
546,ZTO Express,22.67,-3.13,(-12.13%),Transportation,Advertising,"18,327,522,712","10,669,809",$0.80,N/A,N/A,N/A,0.11
547,Molina Healthcare Inc Common Stock,313.11,-3.11,(-0.98%),Health Care,Medical Specialities,"18,285,624,000","290,888",$11.25,N/A,N/A,N/A,0.79
548,Synchrony Financial Common Stock,35.04,-0.39,(-1.1%),Finance,Diversified Financial Services,"18,265,365,554","5,767,394",$7.33,$0.88,"Feb 17, 2022",2.43%,1.65
549,ICON plc Ordinary Shares,223.88,-3.18,(-1.4%),Health Care,Biotechnology: Commercial Physical & Biological Resarch,"18,258,462,430","455,364",$2.95,N/A,N/A,N/A,0.99
550,"Paycom Software, Inc. Common Stock",303.22,-6.45,(-2.08%),Technology,Computer Software: Prepackaged Software,"18,257,943,231","283,403",$3.37,N/A,N/A,N/A,1.49
551,Ryanair Holdings plc American Depositary Shares,80.0,-0.29,(-0.36%),Transportation,Air Freight/Delivery Services,-42.26,"1,402,120",N/A,N/A,1.51,"Nov 14, 2012",$2.20
552,Signature Bank Common Stock,289.25,-20.08,(-6.49%),Finance,Major Banks,"18,150,798,484","1,079,133",$15.03,$2.24,"Feb 11, 2022",0.73%,1.81
553,"UDR, Inc. Common Stock",56.64,-0.66,(-1.15%),Consumer Services,Real Estate Investment Trusts,"18,026,509,549","1,354,506",$0.48,$1.45,"Jan 31, 2022",2.53%,0.76
554,Generac Holdlings Inc. Common Stock,281.64,-21.57,(-7.11%),Consumer Durables,Metal Fabrications,"17,964,027,468","796,012",$8.31,N/A,N/A,N/A,1.03
555,"CenterPoint Energy, Inc",28.45,-0.25,(-0.87%),Public Utilities,Electric Utilities: Central,"17,893,231,106","2,567,755",$2.26,$0.68,"Mar 10, 2022",2.4%,0.92
556,"FleetCor Technologies, Inc. Common Stock",229.54,-1.31,(-0.57%),Technology,EDP Services,"17,878,089,016","342,172",$9.99,N/A,N/A,N/A,1.32
557,Check Point Software Technologies Ltd. Ordinary Shares,134.16,-7.77,(-5.47%),Technology,Computer Software: Prepackaged Software,"17,816,208,524","2,088,373",$6.09,N/A,N/A,N/A,0.63
558,POSCO Holdings Inc. American Depositary Shares,56.44,-0.94,(-1.64%),Basic Industries,Steel/Iron Ore,"17,796,511,573","248,235",$18.89,$2.151,"Dec 3, 2021",3.86%,1
559,Pool Corporation Common Stock,442.1,-9.98,(-2.21%),Consumer Non-Durables,Recreational Products/Toys,"17,758,318,336","220,512",$15.98,$3.20,"Mar 24, 2022",0.7%,0.91
560,"Take-Two Interactive Software, Inc. Common Stock",153.49,-4.80,(-3.03%),Technology,Computer Software: Prepackaged Software,"17,715,226,705","965,315",$4.51,N/A,N/A,N/A,0.65
561,Markel Corporation Common Stock,1301.66,+19.78,(+1.54%),Finance,Property-Casualty Insurers,"17,712,062,498","86,739",$176.57,N/A,N/A,N/A,0.7
562,"Brown & Brown, Inc. Common Stock",62.71,-0.47,(-0.74%),Finance,Specialty Insurers,"17,697,741,154","1,404,033",$2.07,$0.41,"Feb 16, 2022",0.65%,0.74
563,MGM Resorts International Common Stock,40.11,-0.78,(-1.91%),Consumer Services,Hotels/Resorts,"17,615,199,710","3,744,069",$2.45,$0.01,"Mar 15, 2022",0.02%,2.34
564,"Quanta Services, Inc. Common Stock",123.32,+2.27,(+1.88%),Capital Goods,Engineering & Construction,"17,596,569,522","1,963,210",$3.35,$0.28,"Jan 14, 2022",0.24%,1.14
565,Restaurant Brands International Inc. Common Shares,56.47,-1.02,(-1.77%),N/A,N/A,"17,484,952,131","1,562,713",$2.69,$2.16,"Apr 6, 2022",3.7%,1.07
566,"Healthpeak Properties, Inc. Common Stock",32.41,-0.24,(-0.74%),Consumer Services,Real Estate Investment Trusts,"17,478,846,756","3,347,557",$0.93,$1.20,"Feb 22, 2022",3.72%,0.74
568,"Akamai Technologies, Inc. Common Stock",108.44,-1.09,(-1%),Miscellaneous,Business Services,"17,387,991,377","1,242,380",$3.93,N/A,N/A,N/A,0.58
569,"Teradyne, Inc. Common Stock",106.88,-3.08,(-2.8%),Capital Goods,Electrical Products,"17,359,133,876","2,030,840",$5.55,$0.44,"Mar 18, 2022",0.39%,1.5
570,"Hologic, Inc. Common Stock",69.44,-0.84,(-1.2%),Health Care,Medical Electronics,"17,358,897,015","1,283,202",$6.65,N/A,N/A,N/A,1.11
571,Arch Capital Group Ltd. Common Stock,45.73,+0.53,(+1.17%),Finance,Property-Casualty Insurers,"17,333,595,187","1,636,574",$5.24,N/A,N/A,N/A,0.85
572,"Avangrid, Inc. Common Stock",44.72,+0.08,(+0.18%),Public Utilities,Electric Utilities: Central,"17,287,745,532","732,006",$2.07,$1.76,"Apr 1, 2022",3.9%,0.33
573,Genuine Parts Company Common Stock,121.69,-1.07,(-0.87%),Capital Goods,Automotive Aftermarket,"17,273,476,643","626,199",$6.24,$3.58,"Apr 1, 2022",2.95%,1.1
574,"Magna International, Inc. Common Stock",58.1,-1.35,(-2.27%),Capital Goods,Auto Parts:O.E.M.,"17,234,979,623","1,996,115",$5.01,$1.80,"Mar 11, 2022",3.03%,1.52
575,"Catalent, Inc. Common Stock",96.12,-2.21,(-2.25%),Health Care,Biotechnology: Pharmaceutical Preparations,"17,217,794,318","1,004,097",$3.24,N/A,N/A,N/A,1.38
576,Camden Property Trust Common Stock,166.17,-2.75,(-1.63%),Consumer Services,Real Estate Investment Trusts,"17,186,873,036","371,366",$2.92,$3.76,"Apr 18, 2022",1.96%,0.78
577,KB Financial Group Inc,44.04,-0.34,(-0.77%),Finance,Commercial Banks,"17,159,496,113","171,015",$9.64,$0.532,"Aug 13, 2021",1.2%,0.77
578,Principal Financial Group Inc Common Stock,65.06,-0.50,(-0.76%),Finance,Specialty Insurers,"16,995,462,777","1,342,337",$6.27,$2.56,"Mar 25, 2022",3.87%,1.52
579,Marathon Oil Corporation Common Stock,23.17,-0.71,(-2.97%),Energy,Oil & Gas Production,"16,931,828,827","19,994,182",$1.21,$0.28,"Mar 10, 2022",1.2%,2.77
580,Tradeweb Markets Inc. Class A Common Stock,82.95,-0.31,(-0.37%),Finance,Investment Bankers/Brokers/Service,"16,917,071,767","386,833",$1.09,$0.32,"Mar 15, 2022",0.38%,0.92
581,"Broadridge Financial Solutions, Inc. Common Stock",144.6,-1.06,(-0.73%),Miscellaneous,Business Services,"16,885,314,056","394,138",$4.57,$2.56,"Apr 5, 2022",1.74%,0.95
582,"Albertsons Companies, Inc. Class A Common Stock",34.41,-0.17,(-0.49%),Consumer Services,Food Chains,"16,800,339,536","1,452,161",$1.67,$0.48,"Feb 10, 2022",1.38%,0.06
583,"SolarEdge Technologies, Inc. Common Stock",317.93,+2.80,(+0.89%),Technology,Semiconductors,"16,792,634,984","998,363",$3.07,N/A,N/A,N/A,0.97
584,Tenaris S.A. American Depositary Shares,28.35,-0.50,(-1.73%),Basic Industries,Steel/Iron Ore,"16,734,109,565","2,995,023",$1.87,$0.52,"Dec 1, 2021",1.88%,1.6
585,Applovin Corporation Class A Common Stock,44.55,-1.88,(-4.05%),Technology,EDP Services,"16,710,230,988","1,732,121",$0.07,N/A,N/A,N/A,3.21
586,"Expeditors International of Washington, Inc. Common Stock",99.56,-1.04,(-1.03%),Transportation,Oil Refining/Marketing,"16,647,427,600","1,022,157",$8.26,$1.16,"Dec 15, 2021",1.15%,0.89
587,Royalty Pharma plc Class A Ordinary Shares,38.27,-0.24,(-0.62%),Health Care,Biotechnology: Pharmaceutical Preparations,"16,636,183,235","580,766",$1.02,$0.76,"Mar 15, 2022",1.98%,0.75
589,XP Inc. Class A Common Stock,29.57,-1.42,(-4.58%),Finance,Investment Bankers/Brokers/Service,"16,559,024,118","3,697,136",$1.16,N/A,N/A,N/A,1.62
590,Amcor plc Ordinary Shares,10.9,Unchanged,,Basic Industries,Containers/Packaging,"16,499,626,676","8,134,673",$0.61,$0.48,"Mar 15, 2022",4.33%,1.03
591,Westinghouse Air Brake Technologies Corporation Common Stock,89.04,+0.04,(+0.04%),Capital Goods,Railroads,"16,498,231,751","1,317,222",$2.96,$0.60,"Feb 28, 2022",0.65%,1.58
592,"Darden Restaurants, Inc. Common Stock",129.0,-1.37,(-1.05%),Consumer Services,Restaurants,"16,476,354,333","1,066,287",$6.99,$4.40,"Feb 1, 2022",3.42%,1.43
593,"Tyler Technologies, Inc. Common Stock",398.31,-9.82,(-2.41%),Technology,Computer Software: Prepackaged Software,"16,469,687,130","256,447",$3.82,N/A,N/A,N/A,0.78
595,Trimble Inc. Common Stock,65.47,-1.14,(-1.71%),Capital Goods,Industrial Machinery/Components,"16,447,082,910","926,610",$1.94,N/A,N/A,N/A,1.58
596,"Chewy, Inc. Class A Common Stock",39.24,+0.87,(+2.27%),Consumer Services,Catalog/Specialty Distribution,"16,401,514,638","3,812,320",$0.02,N/A,N/A,N/A,0.51
597,"Entegris, Inc. Common Stock",120.77,-2.96,(-2.39%),Technology,Semiconductors,"16,366,383,984","1,153,350",$3.00,$0.40,"Feb 23, 2022",0.32%,1.11
598,Warner Music Group Corp. Class A Common Stock,31.79,-1.46,(-4.39%),Consumer Services,Movies/Entertainment,"16,365,929,589","2,292,421",$0.75,$0.60,"Mar 1, 2022",1.79%,1.08
599,Incyte Corp. Common Stock,73.94,+0.47,(+0.64%),Health Care,Biotechnology: Commercial Physical & Biological Resarch,"16,364,784,475","1,321,935",$4.27,N/A,N/A,N/A,0.69
600,Quest Diagnostics Incorporated Common Stock,136.34,+0.37,(+0.27%),Health Care,Medical Specialities,"16,286,464,842","1,438,052",$15.56,$2.64,"Apr 20, 2022",1.83%,1.12
601,Suzano S.A. American Depositary Shares,12.05,-0.06,(-0.5%),Basic Industries,Paper,"16,258,120,039","1,569,341",$1.20,$0.241,"Feb 3, 2022",2.04%,1.03
602,Jacobs Engineering Group Inc. Common Stock,125.03,+0.41,(+0.33%),Capital Goods,Oilfield Services/Equipment,"16,155,963,376","639,668",$2.27,$0.92,"Mar 25, 2022",0.73%,0.84
604,"NVR, Inc. Common Stock",4752.54,-24.02,(-0.5%),Capital Goods,Homebuilding,"16,076,540,624","16,822",$321.19,N/A,N/A,N/A,1.04
605,NortonLifeLock Inc. Common Stock,27.62,-0.30,(-1.07%),Technology,Computer Software: Prepackaged Software,"16,071,009,299","3,317,563",$1.54,$0.50,"Mar 16, 2022",1.8%,0.99
606,CarMax Inc,99.21,-1.54,(-1.53%),Consumer Services,Other Specialty Stores,"16,040,259,506","892,499",$7.25,N/A,N/A,N/A,1.49
608,Clorox Company,130.16,-3.29,(-2.47%),Consumer Durables,Specialty Chemicals,"16,017,210,667","1,596,310",$1.99,$4.64,"May 13, 2022",3.38%,0.24
609,International Paper Company Common Stock,42.43,+0.39,(+0.93%),Basic Industries,Containers/Packaging,"15,969,142,935","2,747,101",$4.45,$1.85,"Mar 15, 2022",4.39%,0.98
610,"Yum China Holdings, Inc. Common Stock",37.48,-6.88,(-15.51%),Consumer Services,Restaurants,"15,951,105,667","12,955,458",$2.29,$0.48,"Mar 29, 2022",0.96%,0.76
611,Omnicom Group Inc. Common Stock,76.25,-0.69,(-0.9%),Technology,Advertising,"15,935,676,219","1,780,046",$6.53,$2.80,"Apr 8, 2022",3.64%,0.75
613,DISH Network Corporation Class A Common Stock,30.05,-0.46,(-1.51%),Consumer Services,Television Services,"15,896,642,410","1,600,895",$3.80,N/A,N/A,N/A,2.21
614,"Bio-Rad Laboratories, Inc. Class A Common Stock",529.89,-11.45,(-2.12%),Capital Goods,Biotechnology: Laboratory Analytical Instruments,"15,860,899,042","152,304",$140.07,N/A,N/A,N/A,0.94
615,"Rollins, Inc. Common Stock",32.2,-0.40,(-1.23%),Technology,Industrial Specialties,"15,845,159,765","1,965,443",$0.71,$0.40,"Mar 10, 2022",1.22%,0.58
617,Bio-Techne Corp Common Stock,400.84,-14.25,(-3.43%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"15,748,303,733","146,198",$5.12,$1.28,"Feb 25, 2022",0.31%,1.22
618,Teleflex Incorporated Common Stock,335.99,-3.36,(-0.99%),Health Care,Medical/Dental Instruments,"15,747,856,004","271,932",$10.24,$1.36,"Mar 15, 2022",0.4%,1.05
620,Bunge Limited Bunge Limited,109.93,+0.18,(+0.16%),Basic Industries,Agricultural Chemicals,"15,533,349,087","1,370,916",$13.69,$2.10,"Jun 2, 2022",1.95%,0.54
621,FMC Corporation Common Stock,123.27,-1.15,(-0.92%),Basic Industries,Agricultural Chemicals,"15,494,974,776","893,278",$5.70,$2.12,"Apr 21, 2022",1.77%,0.86
622,Insulet Corporation Common Stock,223.26,-11.67,(-4.97%),Health Care,Medical/Dental Instruments,"15,453,525,841","928,777",$0.23,N/A,N/A,N/A,0.67
623,FactSet Research Systems Inc. Common Stock,407.79,+0.79,(+0.19%),Technology,Advertising,"15,413,303,469","204,328",$10.54,$3.28,"Mar 17, 2022",0.79%,0.81
624,Atmos Energy Corporation Common Stock,113.74,+0.45,(+0.4%),Public Utilities,Oil/Gas Transmission,"15,404,067,186","1,308,283",$5.31,$2.72,"Mar 7, 2022",2.42%,0.46
625,"Etsy, Inc. Common Stock",121.23,-15.75,(-11.5%),Consumer Services,Catalog/Specialty Distribution,"15,400,204,044","5,990,274",$3.41,N/A,N/A,N/A,1.71
626,Shinhan Financial Group Co Ltd American Depositary Shares,29.78,-0.27,(-0.9%),Finance,Major Banks,"15,384,145,615","138,830",$6.31,$0.351,"Nov 15, 2021",1.16%,0.76
627,Ubiquiti Inc. Common Stock,249.91,-5.73,(-2.24%),Technology,Radio And Television Broadcasting And Communications Equipment,"15,378,151,622","87,232",$8.55,$2.40,"Feb 22, 2022",0.93%,1.42
628,Westlake Corporation Common Stock,119.27,+1.69,(+1.44%),Basic Industries,Major Chemicals,"15,257,096,880","793,304",$15.58,$1.19,"Mar 15, 2022",1.04%,1.27
629,W. P. Carey Inc. REIT,79.7,+0.46,(+0.58%),Consumer Services,Real Estate Investment Trusts,"15,200,833,667","809,386",$2.23,$4.22,"Jan 14, 2022",5.34%,0.74
630,"Pinterest, Inc. Class A Common Stock",23.08,-0.84,(-3.51%),N/A,N/A,"15,189,984,338","9,728,509",$0.46,N/A,N/A,N/A,1.22
631,The Carlyle Group Inc. Common Stock,42.47,-0.27,(-0.63%),Finance,Investment Managers,"15,132,805,966","2,579,992",$8.19,$1.00,"Feb 23, 2022",2.3%,1.46
633,Loews Corporation Common Stock,60.88,-0.02,(-0.03%),Finance,Property-Casualty Insurers,"15,110,564,730","648,414",$6.05,$0.25,"Mar 8, 2022",0.41%,0.89
634,Shaw Communications Inc. Common Stock,30.23,+0.03,(+0.1%),N/A,N/A,"15,087,916,762","224,903",$1.61,$0.935,"Mar 30, 2022",3.12%,0.68
635,Alliant Energy Corporation Common Stock,60.23,+0.09,(+0.15%),Public Utilities,Power Generation,21.87,"1,044,838","Jan 28, 2022","Feb 15, 2022",0.43,"Jan 30, 2018",$0.00
636,Xylem Inc. Common Stock New,83.62,+0.39,(+0.47%),Capital Goods,Fluid Controls,"15,043,333,243","1,389,810",$2.35,$1.20,"Mar 17, 2022",1.4%,1.12
637,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,45.1,Unchanged,,Consumer Services,Broadcasting,"15,010,552,316",N/A,$1.79,N/A,N/A,N/A,1.18
638,"ASE Technology Holding Co., Ltd. American Depositary Shares",7.01,-0.08,(-1.13%),Technology,Semiconductors,"14,989,227,927","5,934,293",$1.03,$0.217,"Oct 7, 2021",3.03%,1.04
639,Textron Inc. Common Stock,69.19,-0.37,(-0.53%),Capital Goods,Aerospace,"14,967,829,664","957,815",$3.30,$0.08,"Apr 1, 2022",1.43%,1.72
640,Celanese Corporation Celanese Corporation Common Stock,138.01,-0.57,(-0.41%),Basic Industries,Major Chemicals,"14,909,119,139","1,281,089",$16.94,$2.72,"Mar 8, 2022",1.96%,1.3
641,Sasol Ltd. American Depositary Shares,23.36,-0.08,(-0.34%),Energy,Oil & Gas Production,"14,842,829,676","273,826",N/A,N/A,N/A,N/A,3.13
644,Gold Fields Limited American Depositary Shares,16.67,-0.04,(-0.24%),Basic Industries,Precious Metals,"14,798,248,191","9,229,507",N/A,$0.278,"Mar 24, 2022",1.45%,0.63
645,WPP plc American Depositary Shares,64.86,+0.09,(+0.14%),Technology,Advertising,"14,759,913,637","193,609",N/A,$1.723,"Nov 1, 2021",2.64%,1.43
646,"Evergy, Inc. Common Stock",64.35,+0.24,(+0.37%),Public Utilities,Power Generation,"14,756,207,187","990,049",$3.83,$2.29,"Mar 21, 2022",3.61%,0.51
647,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,44.24,-0.36,(-0.81%),Consumer Services,Broadcasting,"14,724,320,055","741,840",$1.79,N/A,N/A,N/A,1.17
648,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,44.12,-0.37,(-0.83%),Consumer Services,Broadcasting,"14,684,380,669","679,924",$1.79,N/A,N/A,N/A,1.17
650,Iron Mountain Incorporated,50.53,-0.86,(-1.67%),Consumer Services,Real Estate Investment Trusts,"14,645,115,913","1,649,349",$1.55,$2.474,"Apr 6, 2022",4.84%,0.84
651,Kimco Realty Corporation Common Stock,23.71,-0.14,(-0.59%),Consumer Services,Real Estate Investment Trusts,"14,622,408,936","3,166,358",$1.59,$0.76,"Mar 24, 2022",3.18%,1.5
652,"Cardinal Health, Inc. Common Stock",52.57,-0.60,(-1.13%),Health Care,Other Pharmaceuticals,"14,565,117,377","1,649,396",$1.91,$1.963,"Apr 15, 2022",3.69%,0.9
653,"ConAgra Brands, Inc. Common Stock",30.1,-0.57,(-1.86%),Consumer Non-Durables,Packaged Foods,"14,438,901,703","5,525,217",$2.28,$1.25,"Mar 2, 2022",4.01%,0.79
654,IDEX Corporation Common Stock,189.64,+0.80,(+0.42%),Capital Goods,Fluid Controls,"14,435,349,200","495,425",$5.88,$2.16,"Jan 28, 2022",1.13%,1.11
656,"Leidos Holdings, Inc. Common Stock",101.97,-1.05,(-1.02%),Technology,EDP Services,"14,327,341,144","735,117",$5.26,$1.44,"Mar 31, 2022",1.4%,0.74
657,ICL Group Ltd. Ordinary Shares,11.07,-0.30,(-2.64%),Basic Industries,Agricultural Chemicals,"14,248,760,928","947,300",$0.60,$0.395,"Mar 8, 2022",3.56%,1.1
658,"Equity Lifestyle Properties, Inc. Common Stock",76.3,-1.40,(-1.8%),Consumer Services,Real Estate Investment Trusts,"14,186,868,273","617,187",$1.43,$1.64,"Apr 8, 2022",1.88%,0.63
659,Western Digital Corporation Common Stock,45.3,-1.29,(-2.77%),Technology,Electronic Components,"14,175,171,221","2,905,286",$6.32,$2.00,"Apr 17, 2020",4.29%,1.6
660,James Hardie Industries plc American Depositary Shares,31.76,-0.76,(-2.34%),Capital Goods,Building Materials,"14,144,117,881","39,383",$1.13,$0.58,"Dec 17, 2021",1.85%,1.36
661,Howmet Aerospace Inc. Common Stock,33.73,-0.55,(-1.6%),Capital Goods,Industrial Machinery/Components,"14,129,661,467","2,563,814",$0.59,$0.08,"Feb 25, 2022",0.24%,1.46
